acne,wrinkles,pores,redness,best_product
low,very low,high,very high,Nivea Daily Essentials Refreshing Facial Wash Gel
high,low,very high,very low,Neutrogena Rapid Wrinkle Repair Serum
very high,high,low,low,The Ordinary Niacinamide 10% + Zinc 1%
low,low,very high,high,La Roche-Posay Effaclar Pore-Refining Anti-Aging Serum
very low,very high,high,low,Clinique Redness Solutions Daily Relief Cream
high,high,high,high,Differin Adapalene Gel 0.1% Acne Treatment
very low,low,low,low,Bioré Charcoal Acne Clearing Cleanser
high,very high,very low,high,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant
low,low,high,very low,StriVectin Advanced Retinol Intensive Night Moisturizer
very high,very low,very low,high,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment
low,high,low,very high,Skinceuticals Blemish + Age Defense Serum
high,very low,very high,high,Clinique Pore Refining Solutions Charcoal Mask
very high,very high,low,low,Glossier Super Pure Niacinamide + Zinc Serum
low,high,high,low,First Aid Beauty Skin Rescue Acne Clearing Pads
very low,very low,low,very high,La Roche-Posay Rosaliac AR Intense Visible Redness Reducing Serum
high,low,high,very low,Dermalogica Daily Microfoliant Exfoliator
very high,low,very high,high,The Ordinary Azelaic Acid Suspension 10%
low,very high,low,high,Paula's Choice Skin Perfecting 8% AHA Gel Exfoliant
very low,high,very high,very low,Origins Clear Improvement Active Charcoal Mask
high,high,low,very high,REN Clean Skincare Ready Steady Glow Daily AHA Tonic
very high,very low,high,high,The Inkey List Retinol Anti-Aging Serum
low,low,very high,low,COSRX BHA Blackhead Power Liquid
very low,high,low,high,Acure Incredibly Clear Charcoal Lemonade Cleansing Clay
high,very low,very low,very high,Peter Thomas Roth Potent-C Power Serum
very high,low,high,low,Sunday Riley Good Genes All-In-One Lactic Acid Treatment
low,very high,high,high,Kate Somerville EradiKate Acne Treatment
very low,low,very low,high,Kiehl's Calendula Deep Cleansing Foaming Face Wash
high,high,high,very low,Mario Badescu Anti-Acne Serum
very high,very high,very high,low,Drunk Elephant T.L.C. Framboos Glycolic Night Serum
low,high,low,low,The Body Shop Tea Tree Skin Clearing Mattifying Toner
very low,low,high,very low,Fresh Umbrian Clay Pore Purifying Face Exfoliator
high,very high,very low,high,The Ordinary Granactive Retinoid 2% Emulsion
acne,wrinkles,pores,redness,best_product
